Salary,Designation,JobCity,Gender,10percentage,10board,12percentage,12board,CollegeTier,Degree,Specialization,collegeGPA,CollegeState,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,12GradAge,GradAge,Period
420000,senior quality engineer,Bangalore,f,84.3,"board ofsecondary education,ap",95.8,state,2,B.Tech/B.E.,CS,78.0,Andhra Pradesh,515,585,525,0.635978756456794,445,-1,-1,-1,-1,-1,-1,0.9737,0.8128,0.5269,1.3549,-0.4455,20,20,11
500000,assistant manager,Indore,m,85.4,cbse,85.0,cbse,2,B.Tech/B.E.,EC,70.06,Madhya Pradesh,695,610,780,0.960603251997053,-1,466,-1,-1,-1,-1,-1,-0.7335,0.3789,1.2396,-0.1076,0.8637,19,19,10
325000,systems engineer,Chennai,f,85.0,cbse,68.2,cbse,2,B.Tech/B.E.,CS,70.0,Uttar Pradesh,615,545,370,0.450876584483451,395,-1,-1,-1,-1,-1,-1,0.2718,1.7109,0.1637,-0.8682,0.6721,22,22,9
1100000,senior software engineer,Gurgaon,m,85.6,cbse,83.6,cbse,1,B.Tech/B.E.,CS,74.64,Delhi,635,585,625,0.974396112538398,615,-1,-1,-1,-1,-1,-1,0.0464,0.3448,-0.344,-0.4078,-0.9194,19,19,12
200000,get,Manesar,m,78.0,cbse,76.8,cbse,2,B.Tech/B.E.,EC,73.9,Uttar Pradesh,545,625,465,0.124502074009537,-1,233,-1,-1,-1,-1,-1,-0.880999999999999,-0.2793,-1.0697,0.0916299999999999,-0.1295,21,21,1
300000,system engineer,Hyderabad,m,89.92,state board,87.0,state,2,B.Tech/B.E.,EC,76.32,Karnataka,560,555,620,0.622642915849938,645,-1,407,-1,-1,-1,-1,-0.3027,-0.6201,-2.2954,-0.7415,-0.8608,22,22,9
300000,java software engineer,Banglore,m,86.08,state board,67.5,state,2,B.Tech/B.E.,CS,72.98,Karnataka,590,435,380,0.356536487724475,405,-1,346,-1,-1,-1,-1,1.7081,-0.1054,-1.0379,-2.0092,-1.0872,23,23,1
400000,mechanical engineer,Bangalore,m,92.0,cbse,91.0,cbse,1,B.Tech/B.E.,ME,8.58,Tamil Nadu,545,555,590,0.829584599793067,-1,-1,-1,469,-1,-1,-1,-0.0154,1.2114,0.01,0.1459,1.247,22,22,1
600000,electrical engineer,Noida,m,90.0,cbse,91.2,cbse,1,B.Tech/B.E.,EC,85.03,Delhi,615,670,530,0.694479327708463,735,366,-1,-1,-1,-1,-1,-0.159,0.5454,-0.6048,-0.7415,-0.2859,21,21,10
230000,project engineer,Kolkata,m,77.0,cbse,72.2,cbse,2,B.Tech/B.E.,EC,78.0,West Bengal,605,565,545,0.493596387301038,385,324,-1,-1,-1,-1,-1,-1.308,0.5454,-0.9122,0.9066,0.0973,23,23,9
600000,senior php developer,Bangalore,m,88.6,mp board bhopal,83.7,state,2,B.Tech/B.E.,CS,74.9,Madhya Pradesh,565,455,565,0.765673581234011,485,-1,-1,-1,-1,-1,-1,0.0464,0.8128,0.0914,0.1798,0.0284,19,19,4
450000,senior systems engineer,Pune,m,81.0,cbse,86.0,cbse,1,B.Tech/B.E.,CS,72.29,Madhya Pradesh,495,605,715,0.968237495890543,605,-1,-1,-1,-1,-1,-1,-2.272,1.1248,0.8171,-0.4078,-0.4455,20,20,3
270000,quality assurance engineer,Pune,m,83.6,state board,69.83,state,2,B.Tech/B.E.,EC,60.0,Maharashtra,380,580,470,0.229481754911755,-1,266,-1,-1,-1,206,-1,0.1282,0.5454,-0.7585,-0.995,0.8637,20,20,10
200000,qa analyst,Gurgaon,m,60.8,cbse,62.4,cbse,2,B.Tech/B.E.,EC,60.0,Haryana,495,425,645,0.538386892985096,385,333,-1,-1,-1,-1,-1,0.3555,0.0328,-0.598,-0.2902,-1.2354,20,20,9
300000,java software engineer,Bangalore,m,81.2,state board,79.9,state,2,B.Tech/B.E.,EC,67.67,Uttar Pradesh,395,565,645,0.622642915849938,495,-1,376,-1,-1,-1,-1,0.7027,0.7119,0.01,-0.995,0.6721,22,22,10
